Date,0
2021-09-21,ESZ1
2021-09-22,ESZ1
2021-09-23,ESZ1
2021-09-24,ESZ1
2021-09-27,ESZ1
2021-09-28,ESZ1
2021-09-29,ESZ1
2021-09-30,ESZ1
2021-10-01,ESZ1
2021-10-04,ESZ1
2021-10-05,ESZ1
2021-10-06,ESZ1
2021-10-07,ESZ1
2021-10-08,ESZ1
2021-10-11,ESZ1
2021-10-12,ESZ1
2021-10-13,ESZ1
2021-10-14,ESZ1
2021-10-15,ESZ1
2021-10-18,ESZ1
2021-10-19,ESZ1
2021-10-20,ESZ1
2021-10-21,ESZ1
2021-10-22,ESZ1
2021-10-25,ESZ1
2021-10-26,ESZ1
2021-10-27,ESZ1
2021-10-28,ESZ1
2021-10-29,ESZ1
2021-11-01,ESZ1
2021-11-02,ESZ1
2021-11-03,ESZ1
2021-11-04,ESZ1
2021-11-05,ESZ1
2021-11-08,ESZ1
2021-11-09,ESZ1
2021-11-10,ESZ1
2021-11-11,ESZ1
2021-11-12,ESZ1
2021-11-15,ESZ1
2021-11-16,ESZ1
2021-11-17,ESZ1
2021-11-18,ESZ1
2021-11-19,ESZ1
2021-11-22,ESZ1
2021-11-23,ESZ1
2021-11-24,ESZ1
2021-11-26,ESZ1
2021-11-29,ESZ1
2021-11-30,ESZ1
2021-12-01,ESZ1
2021-12-02,ESZ1
2021-12-03,ESZ1
2021-12-06,ESZ1
2021-12-07,ESZ1
2021-12-08,ESZ1
2021-12-09,ESZ1
2021-12-10,ESZ1
2021-12-13,ESZ1
2021-12-14,ESH2
2021-12-15,ESH2
2021-12-16,ESH2
2021-12-17,ESH2
2021-12-20,ESH2
2021-12-21,ESH2
2021-12-22,ESH2
2021-12-23,ESH2
2021-12-27,ESH2
2021-12-28,ESH2
2021-12-29,ESH2
2021-12-30,ESH2
2021-12-31,ESH2
2022-01-03,ESH2
2022-01-04,ESH2
2022-01-05,ESH2
2022-01-06,ESH2
2022-01-07,ESH2
2022-01-10,ESH2
2022-01-11,ESH2
2022-01-12,ESH2
2022-01-13,ESH2
2022-01-14,ESH2
2022-01-18,ESH2
2022-01-19,ESH2
2022-01-20,ESH2
2022-01-21,ESH2
2022-01-24,ESH2
2022-01-25,ESH2
2022-01-26,ESH2
2022-01-27,ESH2
2022-01-28,ESH2
2022-01-31,ESH2
2022-02-01,ESH2
2022-02-02,ESH2
2022-02-03,ESH2
2022-02-04,ESH2
2022-02-07,ESH2
2022-02-08,ESH2
2022-02-09,ESH2
2022-02-10,ESH2
2022-02-11,ESH2
2022-02-14,ESH2
2022-02-15,ESH2
2022-02-16,ESH2
2022-02-17,ESH2
2022-02-18,ESH2
2022-02-22,ESH2
2022-02-23,ESH2
2022-02-24,ESH2
2022-02-25,ESH2
2022-02-28,ESH2
2022-03-01,ESH2
2022-03-02,ESH2
2022-03-03,ESH2
2022-03-04,ESH2
2022-03-07,ESH2
2022-03-08,ESH2
2022-03-09,ESH2
2022-03-10,ESH2
2022-03-11,ESH2
2022-03-14,ESH2
2022-03-15,ESM2
2022-03-16,ESM2
2022-03-17,ESM2
2022-03-18,ESM2
2022-03-21,ESM2
2022-03-22,ESM2
2022-03-23,ESM2
2022-03-24,ESM2
2022-03-25,ESM2
2022-03-28,ESM2
2022-03-29,ESM2
2022-03-30,ESM2
2022-03-31,ESM2
2022-04-01,ESM2
2022-04-04,ESM2
2022-04-05,ESM2
2022-04-06,ESM2
2022-04-07,ESM2
2022-04-08,ESM2
2022-04-11,ESM2
2022-04-12,ESM2
2022-04-13,ESM2
2022-04-14,ESM2
2022-04-18,ESM2
2022-04-19,ESM2
2022-04-20,ESM2
2022-04-21,ESM2
2022-04-22,ESM2
2022-04-25,ESM2
2022-04-26,ESM2
2022-04-27,ESM2
2022-04-28,ESM2
2022-04-29,ESM2
2022-05-02,ESM2
2022-05-03,ESM2
2022-05-04,ESM2
2022-05-05,ESM2
2022-05-06,ESM2
2022-05-09,ESM2
2022-05-10,ESM2
2022-05-11,ESM2
2022-05-12,ESM2
2022-05-13,ESM2
2022-05-16,ESM2
2022-05-17,ESM2
2022-05-18,ESM2
2022-05-19,ESM2
2022-05-20,ESM2
2022-05-23,ESM2
2022-05-24,ESM2
2022-05-25,ESM2
2022-05-26,ESM2
2022-05-27,ESM2
2022-05-31,ESM2
2022-06-01,ESM2
2022-06-02,ESM2
2022-06-03,ESM2
2022-06-06,ESM2
2022-06-07,ESM2
2022-06-08,ESM2
2022-06-09,ESM2
2022-06-10,ESM2
2022-06-13,ESM2
2022-06-14,ESU2
2022-06-15,ESU2
2022-06-16,ESU2
2022-06-17,ESU2
2022-06-21,ESU2
2022-06-22,ESU2
2022-06-23,ESU2
2022-06-24,ESU2
2022-06-27,ESU2
2022-06-28,ESU2
2022-06-29,ESU2
2022-06-30,ESU2
2022-07-01,ESU2
2022-07-05,ESU2
2022-07-06,ESU2
2022-07-07,ESU2
2022-07-08,ESU2
2022-07-11,ESU2
2022-07-12,ESU2
2022-07-13,ESU2
2022-07-14,ESU2
2022-07-15,ESU2
2022-07-18,ESU2
2022-07-19,ESU2
2022-07-20,ESU2
2022-07-21,ESU2
2022-07-22,ESU2
2022-07-25,ESU2
2022-07-26,ESU2
2022-07-27,ESU2
2022-07-28,ESU2
2022-07-29,ESU2
2022-08-01,ESU2
2022-08-02,ESU2
2022-08-03,ESU2
2022-08-04,ESU2
2022-08-05,ESU2
2022-08-08,ESU2
2022-08-09,ESU2
2022-08-10,ESU2
2022-08-11,ESU2
2022-08-12,ESU2
2022-08-15,ESU2
2022-08-16,ESU2
2022-08-17,ESU2
2022-08-18,ESU2
2022-08-19,ESU2
2022-08-22,ESU2
2022-08-23,ESU2
2022-08-24,ESU2
2022-08-25,ESU2
2022-08-26,ESU2
2022-08-29,ESU2
2022-08-30,ESU2
2022-08-31,ESU2
2022-09-01,ESU2
2022-09-02,ESU2
2022-09-06,ESU2
2022-09-07,ESU2
2022-09-08,ESU2
2022-09-09,ESU2
2022-09-12,ESU2
2022-09-13,ESZ2
2022-09-14,ESZ2
2022-09-15,ESZ2
2022-09-16,ESZ2
2022-09-19,ESZ2
2022-09-20,ESZ2
2022-09-21,ESZ2
2022-09-22,ESZ2
2022-09-23,ESZ2
2022-09-26,ESZ2
2022-09-27,ESZ2
2022-09-28,ESZ2
2022-09-29,ESZ2
2022-09-30,ESZ2
2022-10-03,ESZ2
2022-10-04,ESZ2
2022-10-05,ESZ2
2022-10-06,ESZ2
2022-10-07,ESZ2
2022-10-10,ESZ2
2022-10-11,ESZ2
2022-10-12,ESZ2
2022-10-13,ESZ2
2022-10-14,ESZ2
2022-10-17,ESZ2
2022-10-18,ESZ2
2022-10-19,ESZ2
2022-10-20,ESZ2
2022-10-21,ESZ2
2022-10-24,ESZ2
2022-10-25,ESZ2
2022-10-26,ESZ2
2022-10-27,ESZ2
2022-10-28,ESZ2
2022-10-31,ESZ2
2022-11-01,ESZ2
2022-11-02,ESZ2
2022-11-03,ESZ2
2022-11-04,ESZ2
2022-11-07,ESZ2
2022-11-08,ESZ2
2022-11-09,ESZ2
2022-11-10,ESZ2
2022-11-11,ESZ2
2022-11-14,ESZ2
2022-11-15,ESZ2
2022-11-16,ESZ2
2022-11-17,ESZ2
2022-11-18,ESZ2
2022-11-21,ESZ2
2022-11-22,ESZ2
2022-11-23,ESZ2
2022-11-25,ESZ2
2022-11-28,ESZ2
2022-11-29,ESZ2
2022-11-30,ESZ2
2022-12-01,ESZ2
2022-12-02,ESZ2
2022-12-05,ESZ2
2022-12-06,ESZ2
2022-12-07,ESZ2
2022-12-08,ESZ2
2022-12-09,ESZ2
2022-12-12,ESZ2
2022-12-13,ESH3
2022-12-14,ESH3
2022-12-15,ESH3
2022-12-16,ESH3
2022-12-19,ESH3
2022-12-20,ESH3
2022-12-21,ESH3
2022-12-22,ESH3
2022-12-23,ESH3
2022-12-27,ESH3
2022-12-28,ESH3
2022-12-29,ESH3
2022-12-30,ESH3
2023-01-03,ESH3
2023-01-04,ESH3
2023-01-05,ESH3
2023-01-06,ESH3
2023-01-09,ESH3
2023-01-10,ESH3
2023-01-11,ESH3
2023-01-12,ESH3
2023-01-13,ESH3
2023-01-17,ESH3
2023-01-18,ESH3
2023-01-19,ESH3
2023-01-20,ESH3
2023-01-23,ESH3
2023-01-24,ESH3
2023-01-25,ESH3
2023-01-26,ESH3
2023-01-27,ESH3
2023-01-30,ESH3
2023-01-31,ESH3
2023-02-01,ESH3
2023-02-02,ESH3
2023-02-03,ESH3
2023-02-06,ESH3
2023-02-07,ESH3
2023-02-08,ESH3
2023-02-09,ESH3
2023-02-10,ESH3
2023-02-13,ESH3
2023-02-14,ESH3
2023-02-15,ESH3
2023-02-16,ESH3
2023-02-17,ESH3
2023-02-21,ESH3
2023-02-22,ESH3
2023-02-23,ESH3
2023-02-24,ESH3
2023-02-27,ESH3
2023-02-28,ESH3
2023-03-01,ESH3
2023-03-02,ESH3
2023-03-03,ESH3
2023-03-06,ESH3
2023-03-07,ESH3
2023-03-08,ESH3
2023-03-09,ESH3
2023-03-10,ESH3
2023-03-13,ESH3
2023-03-14,ESM3
2023-03-15,ESM3
2023-03-16,ESM3
2023-03-17,ESM3
2023-03-20,ESM3
2023-03-21,ESM3
2023-03-22,ESM3
2023-03-23,ESM3
2023-03-24,ESM3
2023-03-27,ESM3
2023-03-28,ESM3
2023-03-29,ESM3
2023-03-30,ESM3
2023-03-31,ESM3
2023-04-03,ESM3
2023-04-04,ESM3
2023-04-05,ESM3
2023-04-06,ESM3
2023-04-10,ESM3
2023-04-11,ESM3
2023-04-12,ESM3
2023-04-13,ESM3
2023-04-14,ESM3
2023-04-17,ESM3
2023-04-18,ESM3
2023-04-19,ESM3
2023-04-20,ESM3
2023-04-21,ESM3
2023-04-24,ESM3
2023-04-25,ESM3
2023-04-26,ESM3
2023-04-27,ESM3
2023-04-28,ESM3
2023-05-01,ESM3
2023-05-02,ESM3
2023-05-03,ESM3
2023-05-04,ESM3
2023-05-05,ESM3
2023-05-08,ESM3
2023-05-09,ESM3
2023-05-10,ESM3
2023-05-11,ESM3
2023-05-12,ESM3
2023-05-15,ESM3
2023-05-16,ESM3
2023-05-17,ESM3
2023-05-18,ESM3
2023-05-19,ESM3
2023-05-22,ESM3
2023-05-23,ESM3
2023-05-24,ESM3
2023-05-25,ESM3
2023-05-26,ESM3
2023-05-30,ESM3
2023-05-31,ESM3
2023-06-01,ESM3
2023-06-02,ESM3
2023-06-05,ESM3
2023-06-06,ESM3
2023-06-07,ESM3
2023-06-08,ESM3
2023-06-09,ESM3
2023-06-12,ESM3
2023-06-13,ESU3
2023-06-14,ESU3
2023-06-15,ESU3
2023-06-16,ESU3
2023-06-20,ESU3
2023-06-21,ESU3
2023-06-22,ESU3
2023-06-23,ESU3
2023-06-26,ESU3
2023-06-27,ESU3
2023-06-28,ESU3
2023-06-29,ESU3
2023-06-30,ESU3
2023-07-03,ESU3
2023-07-05,ESU3
2023-07-06,ESU3
2023-07-07,ESU3
2023-07-10,ESU3
2023-07-11,ESU3
2023-07-12,ESU3
2023-07-13,ESU3
2023-07-14,ESU3
2023-07-17,ESU3
2023-07-18,ESU3
2023-07-19,ESU3
2023-07-20,ESU3
2023-07-21,ESU3
2023-07-24,ESU3
2023-07-25,ESU3
2023-07-26,ESU3
2023-07-27,ESU3
2023-07-28,ESU3
2023-07-31,ESU3
2023-08-01,ESU3
2023-08-02,ESU3
2023-08-03,ESU3
2023-08-04,ESU3
2023-08-07,ESU3
2023-08-08,ESU3
2023-08-09,ESU3
2023-08-10,ESU3
2023-08-11,ESU3
2023-08-14,ESU3
2023-08-15,ESU3
2023-08-16,ESU3
2023-08-17,ESU3
2023-08-18,ESU3
2023-08-21,ESU3
2023-08-22,ESU3
2023-08-23,ESU3
2023-08-24,ESU3
2023-08-25,ESU3
2023-08-28,ESU3
2023-08-29,ESU3
2023-08-30,ESU3
2023-08-31,ESU3
2023-09-01,ESU3
2023-09-05,ESU3
2023-09-06,ESU3
2023-09-07,ESU3
2023-09-08,ESU3
2023-09-11,ESU3
2023-09-12,ESZ3
2023-09-13,ESZ3
2023-09-14,ESZ3
2023-09-15,ESZ3
2023-09-18,ESZ3
2023-09-19,ESZ3
2023-09-20,ESZ3
2023-09-21,ESZ3
2023-09-22,ESZ3
2023-09-25,ESZ3
2023-09-26,ESZ3
2023-09-27,ESZ3
2023-09-28,ESZ3
2023-09-29,ESZ3
2023-10-02,ESZ3
2023-10-03,ESZ3
2023-10-04,ESZ3
2023-10-05,ESZ3
2023-10-06,ESZ3
2023-10-09,ESZ3
2023-10-10,ESZ3
2023-10-11,ESZ3
2023-10-12,ESZ3
2023-10-13,ESZ3
2023-10-16,ESZ3
2023-10-17,ESZ3
2023-10-18,ESZ3
2023-10-19,ESZ3
2023-10-20,ESZ3
2023-10-23,ESZ3
2023-10-24,ESZ3
2023-10-25,ESZ3
2023-10-26,ESZ3
2023-10-27,ESZ3
2023-10-30,ESZ3
2023-10-31,ESZ3
2023-11-01,ESZ3
2023-11-02,ESZ3
2023-11-03,ESZ3
2023-11-06,ESZ3
2023-11-07,ESZ3
2023-11-08,ESZ3
2023-11-09,ESZ3
2023-11-10,ESZ3
2023-11-13,ESZ3
2023-11-14,ESZ3
