Date,combined_nav
2021-09-21,99998742.55848701
2021-09-22,99839927.72540796
2021-09-23,99759863.1113891
2021-09-24,100204380.94297431
2021-09-27,100230040.18947923
2021-09-28,99948372.00653696
2021-09-29,99765203.27908394
2021-09-30,100360442.06510735
2021-10-01,100347572.81489004
2021-10-04,99479004.16763335
2021-10-05,99719403.47467276
2021-10-06,99978505.21173052
2021-10-07,99988430.85022664
2021-10-08,99928397.48655054
2021-10-11,99888850.87502232
2021-10-12,99662214.92830823
2021-10-13,99555833.61585306
2021-10-14,99349377.58984205
2021-10-15,99760505.04438771
2021-10-18,100565021.3361787
2021-10-19,100535315.28772849
2021-10-20,99921311.08064839
2021-10-21,100267760.21930036
2021-10-22,99540861.32474977
2021-10-25,100651803.1741526
2021-10-26,101178973.88887453
2021-10-27,101574831.45621675
2021-10-28,101527813.47763212
2021-10-29,102201955.37474711
2021-11-01,102625810.5499487
2021-11-02,102405522.08922529
2021-11-03,102646789.4717104
2021-11-04,104066455.82183374
2021-11-05,104261437.93037999
2021-11-08,104050750.79725032
2021-11-09,102724403.49733675
2021-11-10,102769074.54545616
2021-11-11,102716354.8289398
2021-11-12,102817752.09058991
2021-11-15,102585302.24197055
2021-11-16,102671842.32137899
2021-11-17,102547831.61911179
2021-11-18,103821933.26284227
2021-11-19,104977363.42403692
2021-11-22,104245468.96114698
2021-11-23,103807887.7323503
2021-11-24,104291895.34378402
2021-11-26,103966923.96001466
2021-11-29,104784919.4916233
2021-11-30,105424191.68367736
2021-12-01,105060026.30902211
2021-12-02,104167144.67938475
2021-12-03,103086099.50606309
2021-12-06,103124080.1841305
2021-12-07,103984253.02701592
2021-12-08,104232221.46008937
2021-12-09,103799924.71273446
2021-12-10,103297869.007446
2021-12-13,102470732.7345498
2021-12-14,102745324.38702591
2021-12-15,103052351.50714925
2021-12-16,101872795.34648007
2021-12-17,102157388.59453303
2021-12-20,102136008.12902007
2021-12-21,102332417.76231143
2021-12-22,102720564.79011045
2021-12-23,102891704.00462657
2021-12-27,102859912.46298414
2021-12-28,102649373.22940022
2021-12-29,102234547.42407912
2021-12-30,102100502.03126466
2021-12-31,101490996.06889524
2022-01-03,103578556.26229501
2022-01-04,102631918.06951837
2022-01-05,101814381.11788128
2022-01-06,101950457.8508303
2022-01-07,101760314.3265156
2022-01-10,101962545.31056379
2022-01-11,101766000.44933821
2022-01-12,102225439.19929044
2022-01-13,101201290.72674696
2022-01-14,101281236.8533389
2022-01-18,101173122.86310187
2022-01-19,101159888.68064088
2022-01-20,101278483.62807287
2022-01-21,100579500.860549
2022-01-24,100028119.9490385
2022-01-25,100137473.98751946
2022-01-26,101283502.53414226
2022-01-27,100517388.8357458
2022-01-28,101172482.11603777
2022-01-31,102085468.66885568
2022-02-01,102003260.37781774
2022-02-02,102072650.69092232
2022-02-03,99513764.33156261
2022-02-04,100944463.55500077
2022-02-07,100331998.99946482
2022-02-08,100206019.75230144
2022-02-09,100319756.2693138
2022-02-10,100449059.46901871
2022-02-11,99858649.69168583
2022-02-14,100573875.65402347
2022-02-15,101139965.86419068
2022-02-16,101013072.84727687
2022-02-17,100363885.19829966
2022-02-18,99964245.315896
2022-02-22,99895201.32185203
2022-02-23,99378138.88981788
2022-02-24,100150402.03445743
2022-02-25,99134583.96446982
2022-02-28,99792403.08857247
2022-03-01,99613422.2601654
2022-03-02,98867569.92950463
2022-03-03,98133590.92297506
2022-03-04,97353292.99830267
2022-03-07,97161324.94624503
2022-03-08,97991244.13799272
2022-03-09,98597481.98334941
2022-03-10,98481159.08807577
2022-03-11,98005899.10612927
2022-03-14,97642706.8948105
2022-03-15,98364585.27300008
2022-03-16,98824333.78386945
2022-03-17,98590900.72306596
2022-03-18,99430664.97122051
2022-03-21,99506725.72365111
2022-03-22,99956579.54398403
2022-03-23,100589839.68471724
2022-03-24,100927230.39847593
2022-03-25,100432669.68517417
2022-03-28,101231574.5048
2022-03-29,100827786.29438476
2022-03-30,100730137.93693075
2022-03-31,100798237.17277563
2022-04-01,100835529.3802328
2022-04-04,101898486.88178468
2022-04-05,101574788.51087432
2022-04-06,100054279.43006961
2022-04-07,99201781.18897186
2022-04-08,98351773.19733608
2022-04-11,97883082.61543739
2022-04-12,97835475.85522094
2022-04-13,97660477.13490456
2022-04-14,97129439.75657636
2022-04-18,97847611.27498579
2022-04-19,97767833.19700909
2022-04-20,96060536.71150002
2022-04-21,96177648.78733711
2022-04-22,97552566.43951541
2022-04-25,98018966.63675383
2022-04-26,97560323.2216648
2022-04-27,97178948.33309291
2022-04-28,98087514.29199733
2022-04-29,98798456.19726108
2022-05-02,99764031.75083995
2022-05-03,99424819.56976762
2022-05-04,98637799.93161683
2022-05-05,98224544.40860711
2022-05-06,98232193.86123395
2022-05-09,98465277.74181648
2022-05-10,98969993.2112711
2022-05-11,98397121.56438963
2022-05-12,97944737.16564462
2022-05-13,98106103.94255893
2022-05-16,97464826.56517631
2022-05-17,97476882.37071908
2022-05-18,98486113.48753457
2022-05-19,98661833.38025789
2022-05-20,98005662.00552197
2022-05-23,97953854.78296722
2022-05-24,96409720.99850483
2022-05-25,96555423.83075736
2022-05-26,96653808.5236903
2022-05-27,96464000.88713355
2022-05-31,97456512.89084987
2022-06-01,97633349.59372558
2022-06-02,97909825.27580003
2022-06-03,97152482.74439757
2022-06-06,97411183.3760497
2022-06-07,96739155.19958673
2022-06-08,97680467.81372993
2022-06-09,98036174.60135211
2022-06-10,98270566.91141881
2022-06-13,98980818.09885363
2022-06-14,99513079.10489908
2022-06-15,100350399.27168515
2022-06-16,100793387.68340546
2022-06-17,101522856.38537368
2022-06-21,101111904.33769232
2022-06-22,101084800.98315574
2022-06-23,100943158.44802946
2022-06-24,100912196.33289576
2022-06-27,100437998.0064055
2022-06-28,99642312.7370685
2022-06-29,99906901.38506795
2022-06-30,99408223.67529194
2022-07-01,98744475.91882999
2022-07-05,100279859.97338669
2022-07-06,100306557.10257632
2022-07-07,100646789.40967938
2022-07-08,100895362.49593398
2022-07-11,100036374.86295156
2022-07-12,100225637.73772173
2022-07-13,100709592.1386056
2022-07-14,100874447.95215678
2022-07-15,100558496.54431732
2022-07-18,100967030.68869317
2022-07-19,100435269.78426605
2022-07-20,101036743.73065941
2022-07-21,101478822.14247337
2022-07-22,100522708.9333172
2022-07-25,99802101.32750739
2022-07-26,99106528.64557415
2022-07-27,99859540.7931312
2022-07-28,98773035.05174915
2022-07-29,99134983.0035868
2022-08-01,99324196.10165152
2022-08-02,99605944.29876383
2022-08-03,100113513.86853987
2022-08-04,100729751.25547314
2022-08-05,100111807.9244818
2022-08-08,99431762.97926056
2022-08-09,99117409.77659479
2022-08-10,99389290.80751826
2022-08-11,98626746.01114495
2022-08-12,98355887.01943302
2022-08-15,98743898.68473111
2022-08-16,98478271.43116601
2022-08-17,98303649.01128273
2022-08-18,98113993.50268708
2022-08-19,97730013.01079373
2022-08-22,98052675.47094935
2022-08-23,98233576.8189124
2022-08-24,98014593.10947433
2022-08-25,98082509.29953548
2022-08-26,98357243.34122226
2022-08-29,98227526.92835268
2022-08-30,98614191.8597909
2022-08-31,99015708.78496218
2022-09-01,98702878.34223421
2022-09-02,98620947.56303096
2022-09-06,98683292.68077476
2022-09-07,98134100.6928677
2022-09-08,97965353.24435896
2022-09-09,98106544.40513712
2022-09-12,97831653.68764986
2022-09-13,98048095.6743973
2022-09-14,98197976.5072617
2022-09-15,98662065.89167415
2022-09-16,99205722.13946888
2022-09-19,99058951.93101431
2022-09-20,99614293.11620693
2022-09-21,100001620.72269998
2022-09-22,100316529.97548059
2022-09-23,100897244.05665775
2022-09-26,101370287.21349294
2022-09-27,101534567.46507946
2022-09-28,100946926.66533256
2022-09-29,100997031.83058551
2022-09-30,101479682.11039983
2022-10-03,99869471.36001724
2022-10-04,98888174.17623137
2022-10-05,98804078.64920533
2022-10-06,99216547.02777384
2022-10-07,99274702.42072558
2022-10-10,99482703.34021622
2022-10-11,99105476.34732124
2022-10-12,99474850.07774425
2022-10-13,98689462.18655266
2022-10-14,98980078.01272391
2022-10-17,99363408.37877017
2022-10-18,98650922.00811347
2022-10-19,99085945.94997762
2022-10-20,99560926.86219475
2022-10-21,98699591.65463667
2022-10-24,97836084.32214166
2022-10-25,97941637.41945538
2022-10-26,96892762.75422595
2022-10-27,94889195.0299809
2022-10-28,93819294.83678049
2022-10-31,93365370.52305587
2022-11-01,93149387.58162478
2022-11-02,93462442.89542331
2022-11-03,93450357.4072069
2022-11-04,93129193.7089217
2022-11-07,92830413.26458675
2022-11-08,92300636.38397771
2022-11-09,92861617.02213101
2022-11-10,92509750.76590104
2022-11-11,92500319.51956183
2022-11-14,93019300.2437702
2022-11-15,92990319.3458604
2022-11-16,92884396.27829084
2022-11-17,92821471.83775552
2022-11-18,92042603.67376946
2022-11-21,91175575.13827662
2022-11-22,90859676.09283179
2022-11-23,91550657.99027172
2022-11-25,91169937.76164071
2022-11-28,91957291.93429872
2022-11-29,91652298.52574547
2022-11-30,92070050.14051943
2022-12-01,92152175.84346618
2022-12-02,92218692.86724508
2022-12-05,92723893.34027222
2022-12-06,92424898.46440026
2022-12-07,92189655.81014791
2022-12-08,92277484.03193043
2022-12-09,92991489.47009179
2022-12-12,91947546.33800288
2022-12-13,91873419.59101757
2022-12-14,91943669.08051682
2022-12-15,92102235.76615188
2022-12-16,92457046.25780755
2022-12-19,92096014.01854841
2022-12-20,91665861.54688174
2022-12-21,91294408.78627925
2022-12-22,90338375.43618006
2022-12-23,90026070.34783575
2022-12-27,88483424.25642455
2022-12-28,89222826.39609283
2022-12-29,89787553.94236374
2022-12-30,90093771.51825294
2023-01-03,89737361.90840739
2023-01-04,89728195.45377694
2023-01-05,89632342.4555314
2023-01-06,89286991.38724817
2023-01-09,90202476.73802096
2023-01-10,90294363.83635804
2023-01-11,90573531.93318197
2023-01-12,90804555.05913445
2023-01-13,91139257.272701
2023-01-17,91918183.93886201
2023-01-18,92306581.34843865
2023-01-19,92678661.69233876
2023-01-20,93200155.28709324
2023-01-23,94006500.5858321
2023-01-24,93981702.91446988
2023-01-25,93874749.69332708
2023-01-26,94992995.90487567
