Date,nav
2021-09-21,99798742.55848701
2021-09-22,99639927.72540796
2021-09-23,99559863.1113891
2021-09-24,100004380.94297431
2021-09-27,100030040.18947923
2021-09-28,99748372.00653696
2021-09-29,99565203.27908394
2021-09-30,100160442.06510735
2021-10-01,100147572.81489004
2021-10-04,99279004.16763335
2021-10-05,99519403.47467276
2021-10-06,99778505.21173052
2021-10-07,99788430.85022664
2021-10-08,99728397.48655054
2021-10-11,99688850.87502232
2021-10-12,99462214.92830823
2021-10-13,99355833.61585306
2021-10-14,99149377.58984205
2021-10-15,99560505.04438771
2021-10-18,100365021.3361787
2021-10-19,100335315.28772849
2021-10-20,99721311.08064839
2021-10-21,100067760.21930036
2021-10-22,99340861.32474977
2021-10-25,100451803.1741526
2021-10-26,100978973.88887453
2021-10-27,101374831.45621675
2021-10-28,101327813.47763212
2021-10-29,102001955.37474711
2021-11-01,102425810.5499487
2021-11-02,102205522.08922529
2021-11-03,102446789.4717104
2021-11-04,103866455.82183374
2021-11-05,104061437.93037999
2021-11-08,103850750.79725032
2021-11-09,102524403.49733675
2021-11-10,102569074.54545616
2021-11-11,102516354.8289398
2021-11-12,102617752.09058991
2021-11-15,102385302.24197055
2021-11-16,102471842.32137899
2021-11-17,102347831.61911179
2021-11-18,103621933.26284227
2021-11-19,104777363.42403692
2021-11-22,104045468.96114698
2021-11-23,103607887.7323503
2021-11-24,104091895.34378402
2021-11-26,103766923.96001466
2021-11-29,104584919.4916233
2021-11-30,105224191.68367736
2021-12-01,104860026.30902211
2021-12-02,103967144.67938475
2021-12-03,102886099.50606309
2021-12-06,102924080.1841305
2021-12-07,103784253.02701592
2021-12-08,104032221.46008937
2021-12-09,103599924.71273446
2021-12-10,103097869.007446
2021-12-13,102270732.7345498
2021-12-14,102545324.38702591
2021-12-15,102852351.50714925
2021-12-16,101672795.34648007
2021-12-17,101957388.59453303
2021-12-20,101936008.12902007
2021-12-21,102132417.76231143
2021-12-22,102520564.79011045
2021-12-23,102691704.00462657
2021-12-27,102659912.46298414
2021-12-28,102449373.22940022
2021-12-29,102034547.42407912
2021-12-30,101900502.03126466
2021-12-31,101290996.06889524
2022-01-03,103378556.26229501
2022-01-04,102431918.06951837
2022-01-05,101614381.11788128
2022-01-06,101750457.8508303
2022-01-07,101560314.3265156
2022-01-10,101762545.31056379
2022-01-11,101566000.44933821
2022-01-12,102025439.19929044
2022-01-13,101001290.72674696
2022-01-14,101081236.8533389
2022-01-18,100973122.86310187
2022-01-19,100959888.68064088
2022-01-20,101078483.62807287
2022-01-21,100379500.860549
2022-01-24,99828119.9490385
2022-01-25,99937473.98751946
2022-01-26,101083502.53414226
2022-01-27,100317388.8357458
2022-01-28,100972482.11603777
2022-01-31,101885468.66885568
2022-02-01,101803260.37781774
2022-02-02,101872650.69092232
2022-02-03,99313764.33156261
2022-02-04,100744463.55500077
2022-02-07,100131998.99946482
2022-02-08,100006019.75230144
2022-02-09,100119756.2693138
2022-02-10,100249059.46901871
2022-02-11,99658649.69168583
2022-02-14,100373875.65402347
2022-02-15,100939965.86419068
2022-02-16,100813072.84727687
2022-02-17,100163885.19829966
2022-02-18,99764245.315896
2022-02-22,99695201.32185203
2022-02-23,99178138.88981788
2022-02-24,99950402.03445743
2022-02-25,98934583.96446982
2022-02-28,99592403.08857247
2022-03-01,99413422.2601654
2022-03-02,98667569.92950463
2022-03-03,97933590.92297506
2022-03-04,97153292.99830267
2022-03-07,96961324.94624503
2022-03-08,97791244.13799272
2022-03-09,98397481.98334941
2022-03-10,98281159.08807577
2022-03-11,97805899.10612927
2022-03-14,97442706.8948105
2022-03-15,98164585.27300008
2022-03-16,98624333.78386945
2022-03-17,98390900.72306596
2022-03-18,99230664.97122051
2022-03-21,99306725.72365111
2022-03-22,99756579.54398403
2022-03-23,100389839.68471724
2022-03-24,100727230.39847593
2022-03-25,100232669.68517417
2022-03-28,101031574.5048
2022-03-29,100627786.29438476
2022-03-30,100530137.93693075
2022-03-31,100598237.17277563
2022-04-01,100635529.3802328
2022-04-04,101698486.88178468
2022-04-05,101374788.51087432
2022-04-06,99854279.43006961
2022-04-07,99001781.18897186
