Date,fut_pnl
2021-09-21,0.0
2021-09-22,-1024814.8330790463
2021-09-23,-1358036.834018859
2021-09-24,-194903.43451196587
2021-09-27,320647.5858100084
2021-09-28,2250820.308234961
2021-09-29,-157180.1891225531
2021-09-30,1307739.173499642
2021-10-01,-1156846.191941991
2021-10-04,1320313.5886294462
2021-10-05,-1075112.4935982635
2021-10-06,-502976.60519216995
2021-10-07,-905357.889345906
2021-10-08,194903.43451196587
2021-10-11,785900.9456127656
2021-10-12,257775.5101609871
2021-10-13,-358370.83119942114
2021-10-14,-1861013.4392110289
2021-10-15,-842485.8136968848
2021-10-18,-377232.4538941275
2021-10-19,-848773.0212617869
2021-10-20,-421242.9068484424
2021-10-21,-345796.41606961685
2021-10-22,132031.35886294462
2021-10-25,-540699.8505815828
2021-10-26,-182329.0193821616
2021-10-27,521838.2278868764
2021-10-28,-1081399.7011631655
2021-10-29,-238913.88746628072
2021-11-01,-220052.26477157435
2021-11-02,-446391.7371080509
2021-11-03,-723028.8699637444
2021-11-04,-528125.4354517785
2021-11-05,-427530.1144133445
2021-11-08,-94308.11347353188
2021-11-09,396094.0765888339
2021-11-10,911645.096910808
2021-11-11,-25148.830259608498
2021-11-12,-886496.2666511995
2021-11-15,-18861.622694706377
2021-11-16,-427530.1144133445
2021-11-17,245201.09503118286
2021-11-18,-383519.6614590296
2021-11-19,176041.8118172595
2021-11-22,370945.24632922537
2021-11-23,-220052.26477157435
2021-11-24,-264062.71772588923
2021-11-26,2596616.724304578
2021-11-29,-1389472.8718433697
2021-11-30,2131363.3645018204
2021-12-01,1452344.9474923906
2021-12-02,-1691258.8349586716
2021-12-03,961942.7574300251
2021-12-06,-1320313.5886294462
2021-12-07,-2389138.8746628077
2021-12-08,-352083.623634519
2021-12-09,804762.5683074719
2021-12-10,-1106548.5314227738
2021-12-13,1062538.078468459
2021-12-14,798475.3607425699
2021-12-15,-2069723.6331410776
2021-12-16,1177601.37747682
2021-12-17,1405984.67492687
2021-12-20,1470217.4773346966
2021-12-21,-2348065.776908326
2021-12-22,-1291793.026201845
2021-12-23,-849300.3873923732
2021-12-27,-1898436.1600535403
2021-12-28,107054.6706797109
2021-12-29,-171287.47308753745
2021-12-30,349711.924220389
2021-12-31,392533.7924922733
2022-01-03,-785067.5849845466
2022-01-04,49958.846317198426
2022-01-05,2619270.9426302603
2022-01-06,142739.5609062812
2022-01-07,563821.2655798108
2022-01-10,157013.51699690934
2022-01-11,-1220423.2457487043
2022-01-12,-321164.01203913277
2022-01-13,1834203.3576457135
2022-01-14,-78506.75849845467
2022-01-18,2383750.667134896
2022-01-19,1341751.8725190433
2022-01-20,1413121.652972184
2022-01-21,2419435.557361467
2022-01-24,-392533.7924922733
2022-01-25,1562998.1919237792
2022-01-26,214109.3413594218
2022-01-27,678012.9143048358
2022-01-28,-3011804.7351225335
2022-01-31,-2312380.8866817555
2022-02-01,-877848.2995736294
2022-02-02,-1206149.2896580764
2022-02-03,3090311.4936209884
2022-02-04,-670875.9362595216
2022-02-07,478177.52903604205
2022-02-08,-1049135.772661167
2022-02-09,-1862751.2698269696
2022-02-10,2290969.9525458133
2022-02-11,2512216.2719505494
2022-02-14,442492.63880947174
2022-02-15,-2012627.808778565
2022-02-16,-157013.51699690934
2022-02-17,2726325.613309971
2022-02-18,884985.2776189435
2022-02-22,1241834.1798846466
2022-02-23,2226737.150137987
2022-02-24,-1769970.555237887
2022-02-25,-2740599.569400599
2022-02-28,342574.9461750749
2022-03-01,1834203.3576457135
2022-03-02,-2226737.150137987
2022-03-03,642328.0240782655
2022-03-04,913533.1898001998
2022-03-07,3675543.693336741
2022-03-08,849300.3873923732
2022-03-09,-3040352.64730379
2022-03-10,513862.41926261235
2022-03-11,1591546.1041050355
2022-03-14,842163.4093470591
2022-03-15,-2569312.096313062
2022-03-16,-2996208.4995872458
2022-03-17,-1642829.7256222498
2022-03-18,-1611537.7308484926
2022-03-21,39114.99346719642
2022-03-22,-1650652.724315689
2022-03-23,1799289.6994910352
2022-03-24,-2033979.6602942138
2022-03-25,-751007.8745701712
2022-03-28,-985697.8353733498
2022-03-29,-1799289.6994910352
2022-03-30,923113.8458258356
2022-03-31,2041802.6589876532
2022-04-01,-265981.95557693567
2022-04-04,-1204741.7987896497
2022-04-05,1799289.6994910352
2022-04-06,1392493.7674321926
2022-04-07,-641485.8928620213
2022-04-08,398972.93336540344
2022-04-11,2331253.6106449068
2022-04-12,500671.91638011415
2022-04-13,-1541130.7426075388
2022-04-14,1713236.713863203
2022-04-18,23468.99608031785
2022-04-19,-2268669.6210973924
2022-04-20,117344.98040158926
2022-04-21,2033979.6602942138
2022-04-22,3856738.3558655665
2022-04-25,-797945.8667308069
2022-04-26,3825446.3610918103
2022-04-27,-305096.9490441321
2022-04-28,-3230898.4603904244
2022-04-29,4881551.184706113
2022-05-02,-735361.8771832928
2022-05-03,-571078.9046210677
2022-05-04,-3942791.3414933993
2022-05-05,4756383.205611085
2022-05-06,743184.8758767319
2022-05-09,4130543.310135942
2022-05-10,-289450.9516572535
2022-05-11,2080917.6524548496
2022-05-12,93875.9843212714
2022-05-13,-2894509.516572535
2022-05-16,469379.92160635703
2022-05-17,-2503359.581900571
2022-05-18,5069303.153348656
2022-05-19,782299.8693439284
2022-05-20,-54760.99085407499
