Date,fut_pnl
2021-09-21,0.0
2021-09-22,-1024938.9771283456
2021-09-23,-1358201.343924679
2021-09-24,-194927.04472993079
2021-09-27,320686.4284266603
2021-09-28,2251092.9681714587
2021-09-29,-157199.22962091194
2021-09-30,1307897.5904459872
2021-10-01,-1156986.3300099117
2021-10-04,1320473.5288156602
2021-10-05,-1075242.7306070377
2021-10-06,-503037.53478691814
2021-10-07,-905467.5626164528
2021-10-08,194927.04472993079
2021-10-12,1043802.8846828552
2021-10-13,-358414.2435356792
2021-10-14,-1861238.878711597
2021-10-15,-842587.8707680878
2021-10-18,-377278.1510901886
2021-10-19,-848875.8399529244
2021-10-20,-421293.9353840439
2021-10-21,-345838.30516600626
2021-10-22,132047.35288156604
2021-10-25,-540765.349895937
2021-10-26,-182351.10636025784
2021-10-27,521901.4423414276
2021-10-28,-1081530.699791874
2021-10-29,-238942.82902378612
2021-11-01,-220078.9214692767
2021-11-02,-446445.8121233899
2021-11-03,-723116.4562561949
2021-11-04,-528189.4115262642
2021-11-05,-427581.90456888045
2021-11-08,-94319.53777254715
2021-11-09,396142.05864469806
2021-11-10,911755.5318012892
2021-11-12,-911755.5318012892
2021-11-15,-18863.90755450943
2021-11-16,-427581.90456888045
2021-11-17,245230.79820862264
2021-11-18,-383566.1202750251
2021-11-19,176063.13717542138
2021-11-22,370990.18190535216
2021-11-23,-220078.9214692767
2021-11-24,-264094.7057631321
2021-11-26,2596931.2733374652
2021-11-29,-1389641.1898488617
2021-11-30,2131621.5536595657
2021-12-01,1452520.8816972263
2021-12-02,-1691463.7107210124
2021-12-03,962059.285279981
2021-12-06,-1320473.5288156602
2021-12-07,-2389428.290237861
2021-12-08,-352126.27435084275
2021-12-09,804860.0556590691
2021-12-10,-1106682.57653122
2021-12-13,1062666.7922373647
2021-12-14,795882.4717174928
2021-12-15,-2076430.3336701065
2021-12-16,1181417.258812302
2021-12-17,1410540.6059758998
2021-12-20,1474981.547365662
2021-12-21,-2355674.4130257415
2021-12-22,-1295978.932394101
2021-12-23,-852052.4472646299
2021-12-27,-1904587.8232974082
2021-12-28,107401.56898293656
2021-12-29,-171842.51037269845
2021-12-30,350845.1253442594
2021-12-31,393805.752937434
2022-01-03,-787611.505874868
2022-01-04,50120.73219203705
2022-01-05,2627758.387782514
2022-01-06,143202.09197724873
2022-01-07,565648.2633101324
2022-01-10,157522.3011749736
2022-01-11,-1224377.8864054766
2022-01-12,-322204.7069488096
2022-01-13,1840146.881907646
2022-01-14,-78761.1505874868
2022-01-18,2391474.936020054
2022-01-19,1346099.664586138
2022-01-20,1417700.7105747624
2022-01-21,2427275.459014366
2022-01-24,-393805.752937434
2022-01-25,1568062.9071508737
2022-01-26,214803.13796587312
2022-01-27,680209.9368919315
2022-01-28,-3021564.140719948
2022-01-31,-2319873.8900314295
2022-02-01,-880692.8656600796
2022-02-02,-1210057.6772077517
2022-02-03,3100325.291307435
2022-02-04,-673049.832293069
2022-02-07,479727.0081237833
2022-02-08,-1052535.3760327783
2022-02-09,-1868787.300303096
2022-02-10,2298393.576234842
2022-02-11,2520356.8187995777
2022-02-14,443926.48512947105
2022-02-15,-2019149.496879207
2022-02-16,-157522.3011749736
2022-02-17,2735159.9567654505
2022-02-18,887852.9702589421
2022-02-22,1245858.200202064
2022-02-23,2233952.6348450803
2022-02-24,-1775705.9405178842
2022-02-25,-2749480.1659631752
2022-02-28,343685.0207453969
2022-03-01,1840146.881907646
2022-03-02,-2233952.6348450803
2022-03-03,644409.4138976192
2022-03-04,916493.3886543919
2022-03-07,3687453.8684141547
2022-03-08,852052.4472646299
2022-03-09,-3050204.5591153977
2022-03-10,515527.53111809544
2022-03-11,1596703.3255463233
2022-03-14,844892.3426657675
2022-03-15,-2580639.3895332515
2022-03-16,-3006000.439049253
2022-03-17,-1648198.6741523317
2022-03-18,-1616804.4136922874
2022-03-21,39242.82557505552
2022-03-22,-1656047.239267343
2022-03-23,1805169.9764525539
2022-03-24,-2040626.929902887
2022-03-25,-753462.251041066
2022-03-28,-988919.2044913991
2022-03-29,-1805169.9764525539
2022-03-30,926130.6835713104
2022-03-31,2048475.495017898
2022-04-01,-266851.2139103776
2022-04-04,-1208679.02771171
2022-04-05,1805169.9764525539
2022-04-06,1397044.5904719764
2022-04-07,-643582.3394309105
2022-04-08,400276.82086556626
2022-04-11,2338872.4042733093
2022-04-12,502308.1673607107
2022-04-13,-1546167.3276571876
2022-04-14,1718835.760187432
2022-04-18,23545.695345033313
2022-04-19,-2276083.8833532203
2022-04-20,117728.47672516655
2022-04-21,2040626.929902887
2022-04-22,3869342.601700474
2022-04-25,-800553.6417311325
2022-04-26,3837948.34124043
2022-04-27,-306094.039485433
2022-04-28,-3241457.392499586
2022-04-29,4897504.631766928
2022-05-02,-737765.1208110438
2022-05-03,-572945.2533958106
2022-05-04,-3955676.8179655964
2022-05-05,4771927.58992675
2022-05-06,745613.6859260548
2022-05-09,4144042.380725863
2022-05-10,-290396.90925541084
2022-05-11,2087718.3205929538
2022-05-12,94182.78138013325
2022-05-13,-2903969.0925541082
2022-05-16,470913.9069006662
2022-05-17,-2511540.836803553
2022-05-18,5085870.194527196
2022-05-19,784856.5115011104
2022-05-20,-54939.95580507773
2022-05-23,-2268235.318238209
2022-05-24,981070.6393763879
2022-05-25,-1138041.9416766101
2022-05-26,-2480146.576343509
2022-05-27,-3139426.0460044416
2022-05-31,769159.3812710883
2022-06-01,1012464.8998364324
2022-06-02,-2393812.3600783865
2022-06-03,2142658.2763980315
2022-06-06,-423822.51621059957
2022-06-07,-1200830.462596699
2022-06-08,1404893.1555869877
2022-06-09,3068788.9599693418
2022-06-10,3680977.0389402076
2022-06-13,4662047.678316596
2022-06-14,428622.8061175622
2022-06-15,-1574668.7270742655
2022-06-16,3615084.542438103
2022-06-17,-133070.59665416327
2022-06-21,-2720554.420485116
2022-06-22,147856.21850462587
2022-06-23,-1094136.0169342316
2022-06-24,-3445049.891157783
2022-06-27,369640.54626156465
2022-06-28,2313949.8195973947
2022-06-29,125677.78572893198
