Date,nav
2021-09-21,99799371.27924351
2021-09-22,100152963.86270398
2021-09-23,100751917.66569453
2021-09-24,101293887.21453574
2021-09-27,101159222.66813564
2021-09-28,99752144.33107589
2021-09-29,99647565.69818415
2021-09-30,99588934.89745773
2021-10-01,100154488.74321143
2021-10-04,98625763.30164003
2021-10-05,99403718.85547855
2021-10-06,99914308.89513241
2021-10-07,100376913.47830148
2021-10-08,100219428.39736938
2021-10-11,99786931.3130348
2021-10-12,99431407.61124022
2021-10-13,99504211.71438475
2021-10-14,100228262.40797926
2021-10-15,101060632.76937336
2021-10-18,102053765.28811142
2021-10-19,102448445.7502921
2021-10-20,102045062.99663623
2021-10-21,102564410.34332299
2021-10-22,101771495.76934093
2021-10-25,103152787.54403454
2021-10-26,103771122.76844756
2021-10-27,103906061.22184636
2021-10-28,104399743.0938433
2021-10-29,105193341.93469143
2021-11-01,105727223.24227881
2021-11-02,105730130.65010943
2021-11-03,106332912.4675764
2021-11-04,108016641.53542565
2021-11-05,108425388.70117855
2021-11-08,108261855.62478565
2021-11-09,106737461.28657766
2021-11-10,106326309.78624167
2021-11-11,106286164.4848551
2021-11-12,106830809.87983082
2021-11-15,106607790.84255883
2021-11-16,106908095.97917393
2021-11-17,106661484.72939114
2021-11-18,108127346.20385113
2021-11-19,109194755.45913714
2021-11-22,108277388.3730826
2021-11-23,107949833.27667172
2021-11-24,108565872.24696837
2021-11-26,106942592.50104672
2021-11-29,108455324.46857704
2021-11-30,108028914.97838019
2021-12-01,106938577.12997875
2021-12-02,106891324.91782072
2021-12-03,105329308.36578405
2021-12-06,106027445.83816619
2021-12-07,108082188.118383
2021-12-08,108506198.36327372
2021-12-09,107671520.33176507
2021-12-10,107722738.892188
2021-12-13,106364333.58005758
2021-12-14,106241029.97072342
2021-12-15,107582918.9074173
2021-12-16,105814562.0580097
2021-12-17,105396162.96859923
2021-12-20,104639673.76441893
2021-12-21,106010116.28616445
2021-12-22,107044159.8270644
2021-12-23,107639949.2352767
2021-12-27,108557375.77366103
2021-12-28,108293309.20473726
2021-12-29,107964127.13595992
2021-12-30,107655225.78103527
2021-12-31,106849452.9224197
2022-01-03,109329546.90831175
2022-01-04,108357929.29237652
2022-01-05,106230756.8694243
2022-01-06,106295463.82192019
2022-01-07,105823409.66481557
2022-01-10,105947133.8903653
2022-01-11,106360800.65201408
2022-01-12,106980821.40798588
2022-01-13,105039571.25661954
2022-01-14,105158770.76246071
2022-01-18,103858781.43865623
2022-01-19,103174671.31993571
2022-01-20,102586705.44088162
2022-01-21,100678004.89467701
2022-01-24,100322890.87941265
2022-01-25,99650745.82193172
2022-01-26,100689719.6978748
2022-01-27,99584599.54232593
2022-01-28,101745595.19017915
2022-01-31,103814772.18633796
2022-02-01,104171488.04508683
2022-02-02,104843953.00302045
2022-02-03,100739910.89685023
2022-02-04,102506048.08841816
2022-02-07,101654494.7683642
2022-02-08,102053083.4075314
2022-02-09,103098195.55945724
2022-02-10,102082013.78288925
2022-02-11,100235495.86958109
2022-02-14,100729475.512514
2022-02-15,102301879.62707049
2022-02-16,102253493.36865513
2022-02-17,100241142.91302294
2022-02-18,99399010.3918098
2022-02-22,98709049.30782351
2022-02-23,97078618.30072036
2022-02-24,98735866.72297886
2022-02-25,99090348.43769155
2022-02-28,99576880.08870667
2022-03-01,98480797.58147673
2022-03-02,98848313.82588497
2022-03-03,97793170.80731626
2022-03-04,96556106.28774376
2022-03-07,94526366.38901776
2022-03-08,94931635.38706927
2022-03-09,97058049.55607785
2022-03-10,96684795.4511729
2022-03-11,95413762.41717389
2022-03-14,94629488.50118157
2022-03-15,96637518.92520157
2022-03-16,98595371.68586455
2022-03-17,99183353.4878722
2022-03-18,100828886.601451
2022-03-21,100885389.85714799
2022-03-22,102160570.03963876
2022-03-23,101894185.33062644
2022-03-24,103248565.87453225
2022-03-25,103129509.09851557
2022-03-28,104421262.83582808
2022-03-29,104917119.47515836
2022-03-30,104357914.19479142
2022-03-31,103405112.10114248
2022-04-01,103575395.28638811
2022-04-04,105240723.68733482
2022-04-05,104017380.46667895
2022-04-06,101800624.50215814
2022-04-07,101268869.2074914
2022-04-08,100219374.74917291
2022-04-11,98585057.36195177
2022-04-12,98287114.64354527
2022-04-13,98882681.29453266
2022-04-14,97495025.55927286
2022-04-18,98201462.57964213
2022-04-19,99256019.31221412
2022-04-20,97490050.33650427
2022-04-21,96590172.58219424
2022-04-22,96036721.05643976
2022-04-25,96902094.18704358
2022-04-26,94530727.59140866
2022-04-27,94301901.17735882
2022-04-28,96825916.36645846
2022-04-29,95096082.67936915
2022-05-02,96429339.17153965
