Date,fut_pnl
2021-09-21,0.0
2021-09-22,-512407.41653952317
2021-09-23,-679018.4170094295
2021-09-24,-97451.71725598293
2021-09-27,160323.7929050042
2021-09-28,1125410.1541174804
2021-09-29,-78590.09456127655
2021-09-30,653869.586749821
2021-10-01,-578423.0959709955
2021-10-04,660156.7943147231
2021-10-05,-537556.2467991317
2021-10-06,-251488.30259608498
2021-10-07,-452678.944672953
2021-10-08,97451.71725598293
2021-10-11,392950.4728063828
2021-10-12,128887.75508049355
2021-10-13,-179185.41559971057
2021-10-14,-930506.7196055144
2021-10-15,-421242.9068484424
2021-10-18,-188616.22694706375
2021-10-19,-424386.51063089346
2021-10-20,-210621.4534242212
2021-10-21,-172898.20803480843
2021-10-22,66015.67943147231
2021-10-25,-270349.9252907914
2021-10-26,-91164.5096910808
2021-10-27,260919.1139434382
2021-10-28,-540699.8505815828
2021-10-29,-119456.94373314036
2021-11-01,-110026.13238578718
2021-11-02,-223195.86855402545
2021-11-03,-361514.4349818722
2021-11-04,-264062.71772588923
2021-11-05,-213765.05720667224
2021-11-08,-47154.05673676594
2021-11-09,198047.03829441694
2021-11-10,455822.548455404
2021-11-11,-12574.415129804249
2021-11-12,-443248.1333255998
2021-11-15,-9430.811347353188
2021-11-16,-213765.05720667224
2021-11-17,122600.54751559143
2021-11-18,-191759.8307295148
2021-11-19,88020.90590862975
2021-11-22,185472.62316461268
2021-11-23,-110026.13238578718
2021-11-24,-132031.35886294462
2021-11-26,1298308.362152289
2021-11-29,-694736.4359216848
2021-11-30,1065681.6822509102
2021-12-01,726172.4737461953
2021-12-02,-845629.4174793358
2021-12-03,480971.3787150126
2021-12-06,-660156.7943147231
2021-12-07,-1194569.4373314038
2021-12-08,-176041.8118172595
2021-12-09,402381.28415373596
2021-12-10,-553274.2657113869
2021-12-13,531269.0392342295
2021-12-14,399237.68037128495
2021-12-15,-1034861.8165705388
2021-12-16,588800.68873841
2021-12-17,702992.337463435
2021-12-20,735108.7386673483
2021-12-21,-1174032.888454163
2021-12-22,-645896.5131009225
2021-12-23,-424650.1936961866
2021-12-27,-949218.0800267701
2021-12-28,53527.33533985545
2021-12-29,-85643.73654376873
2021-12-30,174855.9621101945
2021-12-31,196266.89624613666
2022-01-03,-392533.7924922733
2022-01-04,24979.423158599213
2022-01-05,1309635.4713151301
2022-01-06,71369.7804531406
2022-01-07,281910.6327899054
2022-01-10,78506.75849845467
2022-01-11,-610211.6228743521
2022-01-12,-160582.00601956638
2022-01-13,917101.6788228567
2022-01-14,-39253.379249227335
2022-01-18,1191875.333567448
2022-01-19,670875.9362595216
2022-01-20,706560.826486092
2022-01-21,1209717.7786807334
2022-01-24,-196266.89624613666
2022-01-25,781499.0959618896
2022-01-26,107054.6706797109
2022-01-27,339006.4571524179
2022-01-28,-1505902.3675612668
2022-01-31,-1156190.4433408778
2022-02-01,-438924.1497868147
2022-02-02,-603074.6448290382
2022-02-03,1545155.7468104942
2022-02-04,-335437.9681297608
2022-02-07,239088.76451802102
2022-02-08,-524567.8863305835
2022-02-09,-931375.6349134848
2022-02-10,1145484.9762729066
2022-02-11,1256108.1359752747
2022-02-14,221246.31940473587
2022-02-15,-1006313.9043892825
2022-02-16,-78506.75849845467
2022-02-17,1363162.8066549855
2022-02-18,442492.63880947174
2022-02-22,620917.0899423233
2022-02-23,1113368.5750689935
2022-02-24,-884985.2776189435
2022-02-25,-1370299.7847002996
2022-02-28,171287.47308753745
2022-03-01,917101.6788228567
2022-03-02,-1113368.5750689935
2022-03-03,321164.01203913277
2022-03-04,456766.5949000999
2022-03-07,1837771.8466683705
2022-03-08,424650.1936961866
2022-03-09,-1520176.323651895
2022-03-10,256931.20963130618
2022-03-11,795773.0520525178
2022-03-14,421081.70467352954
2022-03-15,-1284656.048156531
2022-03-16,-1498104.2497936229
2022-03-17,-821414.8628111249
2022-03-18,-805768.8654242463
2022-03-21,19557.49673359821
2022-03-22,-825326.3621578445
2022-03-23,899644.8497455176
2022-03-24,-1016989.8301471069
2022-03-25,-375503.9372850856
2022-03-28,-492848.9176866749
2022-03-29,-899644.8497455176
2022-03-30,461556.9229129178
2022-03-31,1020901.3294938266
2022-04-01,-132990.97778846783
2022-04-04,-602370.8993948249
2022-04-05,899644.8497455176
2022-04-06,696246.8837160963
2022-04-07,-320742.94643101067
2022-04-08,199486.46668270172
2022-04-11,1165626.8053224534
2022-04-12,250335.95819005708
2022-04-13,-770565.3713037694
2022-04-14,856618.3569316015
2022-04-18,11734.498040158926
2022-04-19,-1134334.8105486962
2022-04-20,58672.49020079463
2022-04-21,1016989.8301471069
2022-04-22,1928369.1779327833
2022-04-25,-398972.93336540344
2022-04-26,1912723.1805459051
2022-04-27,-152548.47452206604
2022-04-28,-1615449.2301952122
2022-04-29,2440775.5923530567
2022-05-02,-367680.9385916464
2022-05-03,-285539.45231053384
2022-05-04,-1971395.6707466997
2022-05-05,2378191.6028055423
2022-05-06,371592.43793836597
2022-05-09,2065271.655067971
2022-05-10,-144725.47582862675
2022-05-11,1040458.8262274248
2022-05-12,46937.9921606357
2022-05-13,-1447254.7582862675
2022-05-16,234689.96080317852
2022-05-17,-1251679.7909502855
2022-05-18,2534651.576674328
2022-05-19,391149.9346719642
2022-05-20,-27380.495427037495
2022-05-23,-1130423.3112019766
2022-05-24,488937.4183399553
2022-05-25,-567167.4052743481
2022-05-26,-1236033.793563407
2022-05-27,-1564599.7386878568
2022-05-31,383326.9359785249
2022-06-01,504583.41572683386
2022-06-02,-1193007.3007494907
2022-06-03,1067839.3216544623
2022-06-06,-211220.96472286066
2022-06-07,-598459.4000481053
2022-06-08,700158.383062816
2022-06-09,1529396.24456738
2022-06-10,1834493.1936115122
2022-06-13,2323430.611951467
2022-06-14,215132.46406958034
