Date,combined_nav
2021-09-21,99800000.0
2021-09-22,100665999.99999999
2021-09-23,101943972.21999998
2021-09-24,102583393.48609717
2021-09-27,102288405.14679207
2021-09-28,99755916.65561484
2021-09-29,99729928.11728437
2021-09-30,99017427.72980814
2021-10-01,100161404.67153282
2021-10-04,97972522.4356467
2021-10-05,99288034.23628436
2021-10-06,100050112.57853429
2021-10-07,100965396.10637632
2021-10-08,100710459.30818824
2021-10-11,99885011.75104727
2021-10-12,99400600.2941722
2021-10-13,99652589.81291644
2021-10-14,101307147.22611646
2021-10-15,102560760.494359
2021-10-18,103742509.24004413
2021-10-19,104561576.2128557
2021-10-20,104368814.91262405
2021-10-21,105061060.46734563
2021-10-22,104202130.2139321
2021-10-25,105853771.9139165
2021-10-26,106563271.6480206
2021-10-27,106437290.98747595
2021-10-28,107471672.71005447
2021-10-29,108384728.49463575
2021-11-01,109028635.93460892
2021-11-02,109254739.21099356
2021-11-03,110219035.4634424
2021-11-04,112166827.24901754
2021-11-05,112789339.47197711
2021-11-08,112672960.45232098
2021-11-09,110950519.07581857
2021-11-10,110083545.02702717
2021-11-11,110055974.14077042
2021-11-12,111043867.66907173
2021-11-15,110830279.4431471
2021-11-16,111344349.63696887
2021-11-17,110975137.8396705
2021-11-18,112632759.14486
2021-11-19,113612147.49423738
2021-11-22,112509307.78501822
2021-11-23,112291778.82099313
2021-11-24,113039849.15015273
2021-11-26,110118261.04207878
2021-11-29,112325729.44553079
2021-11-30,110833638.27308303
2021-12-01,109017127.9509354
2021-12-02,109815505.1562567
2021-12-03,107772517.22550502
2021-12-06,109130811.49220188
2021-12-07,112380123.2097501
2021-12-08,112980175.26645808
2021-12-09,111743115.9507957
2021-12-10,112347608.77693
2021-12-13,110457934.42556535
2021-12-14,109936735.55442093
2021-12-15,112313486.30768535
2021-12-16,109956328.76953934
2021-12-17,108834937.34266543
2021-12-20,107343339.39981778
2021-12-21,109887814.81001747
2021-12-22,111567754.86401834
2021-12-23,112588194.46592683
2021-12-27,114454839.08433793
2021-12-28,114137245.1800743
2021-12-29,113893706.84784074
2021-12-30,113409949.5308059
2021-12-31,112407909.77594419
2022-01-03,115280537.55432852
2022-01-04,114283940.51523468
2022-01-05,110847132.62096733
2022-01-06,110840469.79301007
2022-01-07,110086505.00311555
2022-01-10,110131722.47016683
2022-01-11,111155600.85468996
2022-01-12,111936203.61668132
2022-01-13,109077851.78649212
2022-01-14,109236304.67158252
2022-01-18,106744440.0142106
