Date,port_pnl
2021-09-21,0.0
2021-09-22,868737.5542999953
2021-09-23,1281652.8816252053
2021-09-24,641307.8899480253
2021-09-27,-296055.79259358346
2021-09-28,-2540867.6173398644
2021-09-29,-25872.87852831185
2021-09-30,-714629.0593226701
2021-10-01,1148117.1163292825
2021-10-04,-2196252.2451394647
2021-10-05,1320211.4025317281
2021-10-06,764276.1751211137
2021-10-07,918581.8461241722
2021-10-08,-255366.21869899333
2021-10-11,-827750.839660421
2021-10-12,-486103.1584293395
2021-10-13,252417.33750413358
2021-10-14,1659884.1497004032
2021-10-15,1257214.6585691571
2021-10-18,1185514.7396202534
2021-10-19,821852.1000982374
2021-10-20,-193077.095166713
2021-10-21,694723.9062923193
2021-10-22,-861746.7295195311
2021-10-25,1657371.7507620007
2021-10-26,711509.1166123003
2021-10-27,-126072.41411609948
2021-10-28,1037990.5767503977
2021-10-29,916378.3582280725
2021-11-01,645479.2615062445
2021-11-02,226626.1781667769
2021-11-03,967239.5359948128
2021-11-04,1954398.2694604099
2021-11-05,625117.7417460531
2021-11-08,-116761.32375343144
2021-11-09,-1728439.3131278008
2021-11-10,-869930.9166283011
2021-11-11,-28103.925744011998
2021-11-12,991462.6180713028
2021-11-15,-214511.98989488184
2021-11-16,515421.0728164911
2021-11-17,-370085.19508974254
2021-11-18,1663277.9116386771
2021-11-19,982487.42611368
2021-11-22,-1106113.2419466823
2021-11-23,-218582.1160632521
2021-11-24,750974.6287253797
2021-11-26,-2931065.7750425935
2021-11-29,2214828.2530929595
2021-11-30,-1496428.0844373405
2021-12-01,-1822263.8364280611
2021-12-02,801443.798688367
2021-12-03,-2049611.2822309136
2021-12-06,1362880.9491742253
2021-12-07,3259698.981844038
2021-12-08,602368.1477083117
2021-12-09,-1240912.1593649983
2021-12-10,606487.7328836322
2021-12-13,-1895910.5281306952
2021-12-14,-522807.87364031374
2021-12-15,2384265.241900012
2021-12-16,-2364819.018229142
2021-12-17,-1124980.6236177832
2021-12-20,-1496958.1429424435
2021-12-21,2552322.930085093
2021-12-22,1685690.0800989568
2021-12-23,1024136.5621040761
2021-12-27,1872344.8551336974
2021-12-28,-318869.5753566921
2021-12-29,-244110.2104639411
2021-12-30,-485235.5091846585
2021-12-31,-1005567.7217947245
2022-01-03,2881743.3985180557
2022-01-04,-1000105.8914172351
2022-01-05,-3448102.2683529407
2022-01-06,-6684.723993867636
2022-01-07,-755996.9211675674
2022-01-10,45366.24781681597
2022-01-11,1027800.7645841539
2022-01-12,782839.9213835299
2022-01-13,-2867987.4491119236
2022-01-14,158535.68676775694
2022-01-18,-2500602.535560429
2022-01-19,-1359110.040808022
2022-01-20,-1298354.404412821
2022-01-21,-3128253.8544872254
2022-01-24,-159268.59261141717
2022-01-25,-1458330.1956840008
2022-01-26,934689.6355088502
2022-01-27,-1448678.1707514971
2022-01-28,3679372.2542378902
2022-01-31,3236414.7210540324
2022-02-01,797735.1108967066
2022-02-02,1279315.7042972445
2022-02-03,-5667579.744728938
2022-02-04,2108190.4333665073
2022-02-07,-1094755.9128906876
2022-02-08,925982.9163172245
