Date,nav
2021-09-21,99799685.63962175
2021-09-22,100409481.93135197
2021-09-23,101347944.94284727
2021-09-24,101938640.35031646
2021-09-27,101723813.90746386
2021-09-28,99754030.49334536
2021-09-29,99688746.90773426
2021-09-30,99303181.31363294
2021-10-01,100157946.70737213
2021-10-04,98299142.86864336
2021-10-05,99345876.54588147
2021-10-06,99982210.73683335
2021-10-07,100671154.79233891
2021-10-08,100464943.85277882
2021-10-11,99835971.53204103
2021-10-12,99416003.9527062
2021-10-13,99578400.7636506
2021-10-14,100767704.81704786
2021-10-15,101810696.63186617
2021-10-18,102898137.26407778
2021-10-19,103505010.9815739
2021-10-20,103206938.95463014
2021-10-21,103812735.40533431
2021-10-22,102986812.99163651
2021-10-25,104503279.72897552
2021-10-26,105167197.20823407
2021-10-27,105171676.10466115
2021-10-28,105935707.90194888
2021-10-29,106789035.21466358
2021-11-01,107377929.58844388
2021-11-02,107492434.9305515
2021-11-03,108275973.9655094
2021-11-04,110091734.39222158
2021-11-05,110607364.08657783
2021-11-08,110467408.03855331
2021-11-09,108843990.1811981
2021-11-10,108204927.40663442
2021-11-11,108171069.31281276
2021-11-12,108937338.77445127
2021-11-15,108719035.14285296
2021-11-16,109126222.80807139
2021-11-17,108818311.28453082
2021-11-18,110380052.67435557
2021-11-19,111403451.47668725
2021-11-22,110393348.0790504
2021-11-23,110120806.04883242
2021-11-24,110802860.69856055
2021-11-26,108530426.77156274
2021-11-29,110390526.95705391
2021-11-30,109431276.62573162
2021-12-01,107977852.54045707
2021-12-02,108353415.03703871
2021-12-03,106550912.79564454
2021-12-06,107579128.66518404
2021-12-07,110231155.66406655
2021-12-08,110743186.8148659
2021-12-09,109707318.14128038
2021-12-10,110035173.83455901
2021-12-13,108411134.00281146
2021-12-14,108088882.76257218
2021-12-15,109948202.60755132
2021-12-16,107885445.41377452
2021-12-17,107115550.15563233
2021-12-20,105991506.58211835
2021-12-21,107948965.54809096
2021-12-22,109305957.34554136
2021-12-23,110114071.85060176
2021-12-27,111506107.42899948
2021-12-28,111215277.19240579
2021-12-29,110928916.99190034
2021-12-30,110532587.6559206
2021-12-31,109628681.34918195
2022-01-03,112305042.23132014
2022-01-04,111320934.9038056
2022-01-05,108538944.74519582
2022-01-06,108567966.80746514
2022-01-07,107954957.33396557
2022-01-10,108039428.18026607
2022-01-11,108758200.75335202
2022-01-12,109458512.5123336
2022-01-13,107058711.52155584
2022-01-14,107197537.71702161
2022-01-18,105301610.72643341
2022-01-19,104282062.63958314
2022-01-20,103340816.347286
2022-01-21,100827256.91174103
2022-01-24,100570276.34459974
2022-01-25,99507381.73913786
2022-01-26,100492828.27974108
2022-01-27,99218204.895616
2022-01-28,102132151.72724988
2022-01-31,104779423.9450791
2022-02-01,105355601.87872139
2022-02-02,106329604.15906952
2022-02-03,101452984.17949407
2022-02-04,103386840.35512686
2022-02-07,102415742.6528139
2022-02-08,103076615.23514639
2022-02-09,104587415.20452897
2022-02-10,102998490.93982452
2022-02-11,100523918.95852873
2022-02-14,100907275.44175926
2022-02-15,102982836.5085104
2022-02-16,102973703.62934427
2022-02-17,100279771.77038458
2022-02-18,99216392.92976671
2022-02-22,98215973.30080926
2022-02-23,96028858.00617161
2022-02-24,98128599.0672396
2022-02-25,99168230.67430243
2022-02-28,99569118.58877377
2022-03-01,98014485.24213241
2022-03-02,98938685.77407514
2022-03-03,97722960.74948686
2022-03-04,96257512.93246432
2022-03-07,93308887.11040413
2022-03-08,93501831.01160754
2022-03-09,96388333.34244208
