Date,EqualWeight,^GSPC
2020-09-22,0.0,0.01052
2020-09-23,-0.03578,-0.02372
2020-09-24,0.0081,0.00299
2020-09-25,0.02353,0.01598
2020-09-28,0.01795,0.01611
2020-09-29,-0.00063,-0.00481
2020-09-30,0.01027,0.00825
2020-10-01,0.01394,0.00529
2020-10-02,-0.026,-0.00958
2020-10-05,0.02267,0.01797
2020-10-06,-0.01844,-0.01397
2020-10-07,0.01529,0.0174
2020-10-08,0.00619,0.00801
2020-10-09,0.0133,0.00879
2020-10-12,0.02852,0.01642
2020-10-13,-0.00545,-0.00631
2020-10-14,-0.0045,-0.00662
2020-10-15,-0.00808,-0.00153
2020-10-16,-0.0053,0.00013
2020-10-19,-0.02131,-0.01633
2020-10-20,0.0057,0.00473
2020-10-21,0.00318,-0.0022
2020-10-22,0.00354,0.00522
2020-10-23,0.00646,0.00345
2020-10-26,-0.01766,-0.01859
2020-10-27,0.00746,-0.00303
2020-10-28,-0.0455,-0.03529
2020-10-29,0.02055,0.01195
2020-10-30,-0.02483,-0.01213
2020-11-02,0.00731,0.01232
2020-11-03,0.02214,0.0178
2020-11-04,0.03549,0.02205
2020-11-05,0.02568,0.01946
2020-11-06,0.00102,-0.00029
2020-11-09,0.00064,0.0117
2020-11-10,-0.01818,-0.0014
2020-11-11,0.01569,0.00765
2020-11-12,-0.0062,-0.00998
2020-11-13,0.0043,0.01361
2020-11-16,0.00815,0.01165
2020-11-17,0.00058,-0.00479
2020-11-18,0.0011,-0.01156
2020-11-19,0.00558,0.00395
2020-11-20,-0.01279,-0.00679
2020-11-23,0.00683,0.00564
2020-11-24,0.01924,0.01616
2020-11-25,0.00732,-0.00158
2020-11-27,0.0054,0.0024
2020-11-30,-0.00604,-0.0046
2020-12-01,0.01835,0.01127
2020-12-02,0.00171,0.00179
2020-12-03,-0.00114,-0.00062
2020-12-04,0.00423,0.00884
2020-12-07,0.00902,-0.00194
2020-12-08,0.00211,0.00279
2020-12-09,-0.0215,-0.00795
2020-12-10,0.00156,-0.00129
2020-12-11,-0.00297,-0.00126
2020-12-14,0.00425,-0.00436
2020-12-15,0.00884,0.01292
2020-12-16,0.00168,0.00177
2020-12-17,0.0085,0.00576
2020-12-18,0.00244,-0.00351
2020-12-21,-0.00195,-0.00391
2020-12-22,-0.00456,-0.00207
2020-12-23,-0.00094,0.00075
2020-12-24,0.00513,0.00354
2020-12-28,0.01654,0.00872
2020-12-29,0.00033,-0.00223
2020-12-30,0.00323,0.00134
2020-12-31,0.00336,0.00644
2021-01-04,-0.0079,-0.01475
2021-01-05,0.00707,0.00708
2021-01-06,-0.01056,0.00571
2021-01-07,0.02997,0.01485
2021-01-08,0.01102,0.00549
2021-01-11,-0.01711,-0.00655
2021-01-12,-0.0018,0.00042
2021-01-13,0.00562,0.00228
2021-01-14,-0.01238,-0.00375
2021-01-15,-0.00711,-0.00719
2021-01-19,0.01469,0.00814
2021-01-20,0.02303,0.01394
2021-01-21,0.00897,0.00032
2021-01-22,0.00055,-0.00301
2021-01-25,0.0091,0.00362
2021-01-26,0.00602,-0.00149
2021-01-27,-0.02535,-0.02568
2021-01-28,0.0004,0.00976
